City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Korla,41.76,86.15,301.84,15,64,1.9,CN,1596333491
Yizheng,24.67,103.43,292.67,84,87,4.26,CN,1596333492
Lusambo,-4.97,23.45,298.18,44,69,0.31,CD,1596333492
Negombo,7.21,79.84,299.15,94,75,3.6,LK,1596333492
Saint-François,46.42,3.91,295.15,73,99,1.5,FR,1596333434
Constantine,36.37,6.61,294.15,40,0,1.42,DZ,1596333493
Tena,-0.98,-77.82,292.4,85,24,1.45,EC,1596333493
Kemijärvi,66.71,27.43,283.23,80,100,1.48,FI,1596333493
Kilindoni,-7.91,39.67,297.84,77,4,8.08,TZ,1596333494
Camocim de São Félix,-8.36,-35.76,290.91,100,54,2.9,BR,1596333494
Hasaki,35.73,140.83,303.71,61,20,4.6,JP,1596333494
Sur,22.57,59.53,301.24,76,52,3.44,OM,1596333495
Langxiang,46.95,128.88,304.7,46,85,1.56,CN,1596333495
Kawalu,-7.38,108.21,297.06,78,77,1.42,ID,1596333495
Boguchany,58.38,97.45,291.93,76,100,1.92,RU,1596333495
Chanal,16.72,-92.4,299.15,74,75,1.5,MX,1596333496
Yerofey Pavlovich,53.97,121.97,289.3,95,100,3.31,RU,1596333496
Cabedelo,-6.98,-34.83,296.15,100,75,2.1,BR,1596333496
Nkhata Bay,-11.61,34.29,292.36,64,93,2.88,MW,1596333496
Novobirilyussy,56.95,90.67,291.95,67,46,0.99,RU,1596333497
Dunedin,-45.87,170.5,289.82,57,95,0.45,NZ,1596333497
Samarai,-10.62,150.67,298.57,77,38,7.04,PG,1596333497
Estelle,29.85,-90.11,302.59,79,20,4.1,US,1596333497
Marsabit,2.33,37.99,287.95,92,57,10.63,KE,1596333497
Lieksa,63.32,30.02,285.64,82,99,1.74,FI,1596333498
Puerto Ayacucho,5.66,-67.62,297.55,88,100,1.9,VE,1596333498
Mount Isa,-20.73,139.5,297.15,33,0,7.2,AU,1596333498
Manono,-7.3,27.42,294.59,42,98,2.3,CD,1596333498
Zhangaözen,43.3,52.8,298.07,24,6,4.29,KZ,1596333499
Dalaba,10.7,-12.25,289.69,100,100,0.88,GN,1596333499
Leningradskiy,69.38,178.42,278.97,72,96,2.66,RU,1596333499
Victor Harbor,-35.57,138.62,287.04,89,100,0.83,AU,1596333499
Lewisburg,35.45,-86.79,295.15,94,50,3.1,US,1596333500
Heihe,50.24,127.49,297.15,88,40,3,CN,1596333500
Waipawa,-41.41,175.52,288.15,51,100,4.6,NZ,1596333500
Bukachacha,52.98,116.92,291.02,89,100,3.71,RU,1596333500
Esna,25.29,32.55,304.15,29,23,3.77,EG,1596333415
Chifeng,42.27,118.96,305.02,37,98,4.55,CN,1596333501
Kuopio,62.89,27.68,287.15,93,20,1,FI,1596333407
Prymors'k,46.73,36.34,291.79,60,33,3.32,UA,1596333502
Marsh Harbour,26.54,-77.06,301.63,81,100,13.06,BS,1596333502
Kashgar,39.45,75.98,297.15,31,40,3,CN,1596333502
Fenoarivo Atsinanana,-17.37,49.42,291.36,86,8,3.95,MG,1596333502
Kirakira,-10.45,161.92,301.85,70,22,1.71,SB,1596333503
Pangnirtung,66.15,-65.71,280.89,81,99,0.64,CA,1596333503
Jumla,29.27,82.18,292.87,62,64,0.9,NP,1596333503
Bathsheba,13.22,-59.52,300.15,83,20,2.6,BB,1596333503
Mae Sai,20.43,99.88,299.26,100,75,2.1,TH,1596333504
Tsimmerbude,54.67,20.13,288.15,100,90,2,RU,1596333504
Sémbé,1.65,14.58,295.26,85,99,1.16,CG,1596333504
Ishigaki,24.34,124.16,301.15,94,75,8.2,JP,1596333504
Maragogi,-9.01,-35.22,296.21,87,30,4.39,BR,1596333505
High Level,58.52,-117.14,302.15,51,20,5.7,CA,1596333505
Sakaiminato,35.55,133.23,303.15,66,75,1.5,JP,1596333505
Taguatinga,-12.39,-46.57,294.28,50,0,2.73,BR,1596333506
Ventspils,57.39,21.56,281.15,100,60,3.08,LV,1596333506
Narok,-1.08,35.86,285.29,90,45,3.32,KE,1596333506
Sirte,31.21,16.59,299.03,74,0,3.04,LY,1596333506
Buncrana,55.13,-7.45,283.05,93,86,2.98,IE,1596333507
Nūh,28.12,77.02,305.37,5,1,2.18,IN,1596333507
Urdoma,61.75,48.54,281.8,90,87,1.15,RU,1596333507
Brigantine,39.41,-74.36,299.15,78,1,2.6,US,1596333507
Erenhot,43.65,111.98,295.28,45,69,9.71,CN,1596333508
Baharly,38.44,57.43,299.91,26,0,2.76,TM,1596333508
Dolisie,-4.2,12.67,291.86,90,18,1.62,CG,1596333508
Sotuta,20.6,-89.02,300.99,76,0,3.77,MX,1596333509
Anastácio,-20.48,-55.81,298.05,35,0,4.29,BR,1596333509
Beloha,-25.17,45.05,287.77,81,0,4.62,MG,1596333509
Arrondissement de Beaune,47.08,4.75,295.15,83,100,1,FR,1596333509
Waddān,29.16,16.14,295.48,49,0,0.48,LY,1596333510
Bridlington,54.08,-0.19,285.93,87,58,2.6,GB,1596333510
Ocós,14.51,-92.19,301.15,88,75,2.04,GT,1596333510
Salinópolis,-0.61,-47.36,299.46,80,87,4.39,BR,1596333510
Sanquhar,55.37,-3.92,286.15,93,75,2.6,GB,1596333511
Perote,19.57,-97.23,285.38,98,50,0.87,MX,1596333511
Pangai,-19.8,-174.35,296.07,72,89,7.25,TO,1596333511
Vao,-22.67,167.48,292.66,72,30,7.58,NC,1596333511
Marawi,8,124.29,300.93,78,100,1.94,PH,1596333512
Beidao,34.57,105.89,297.73,58,0,0.29,CN,1596333496
Bojnourd,37.47,57.33,288.15,47,0,2.1,IR,1596333512
Būlaevo,54.91,70.44,295.9,65,53,0.3,KZ,1596333513
Rosetta,31.4,30.42,299.15,83,0,4.1,EG,1596333513
Manokwari,-0.87,134.08,302.56,69,94,2.56,ID,1596333513
Lianran,24.92,102.48,297.04,82,75,7,CN,1596333513
Kula,38.55,28.65,293.28,67,0,0.97,TR,1596333514
Touba,8.28,-7.68,294.24,95,100,3.42,CI,1596333514
Najrān,17.49,44.13,300.15,57,40,4.1,SA,1596333514
Berlevåg,70.86,29.09,282.34,87,98,2.7,NO,1596333514
Karasburg,-28.02,18.75,287.99,29,0,6.06,NA,1596333514
Lavrentiya,65.58,-171,280.95,65,99,6.68,RU,1596333515
Peniche,39.36,-9.38,290.93,88,0,2.68,PT,1596333515
Bacolod City,10.67,122.95,302.56,65,97,1.48,PH,1596333459
Ouro Preto do Oeste,-10.75,-62.22,297.16,42,0,0.62,BR,1596333516
Igrim,63.19,64.42,288.11,76,94,2.29,RU,1596333516
Harper,4.38,-7.72,296.6,86,100,4.76,LR,1596333516
Flinders,-34.58,150.86,292.04,50,84,3.58,AU,1596333517
Ōmachi,36.5,137.87,302.04,65,75,2.1,JP,1596333517
Maniwaki,46.38,-75.97,292.1,84,34,1.07,CA,1596333517
Kang,-23.68,22.79,282.64,47,0,3.39,BW,1596333517
Clarence Town,-32.58,151.78,290.37,55,3,7.2,AU,1596333517
Itoman,26.12,127.67,305.15,66,75,7.7,JP,1596333518
Teya,60.38,92.63,289.94,73,94,1.03,RU,1596333518
Mackay,-21.15,149.2,295.15,64,28,9.3,AU,1596333518
San Ramon,37.78,-121.98,303.15,30,1,4.6,US,1596333260
Portland,45.52,-122.68,300.93,42,20,3.6,US,1596333519
Krasnyy,54.57,31.43,284.46,92,67,4.09,RU,1596333519
Sanmenxia,34.77,111.18,301.78,68,29,2,CN,1596333519
Hofn,64.25,-15.21,283.88,96,100,6.21,IS,1596333520
Inírida,3.87,-67.92,296.17,93,56,0.23,CO,1596333520
Dakar,14.69,-17.44,301.15,83,20,1,SN,1596333072
Sibut,5.72,19.07,295.33,94,100,0.89,CF,1596333520
Boffa,10.17,-14.03,296.95,93,100,0.5,GN,1596333521
Visnes,59.36,5.22,289.26,93,100,2.6,NO,1596333521
Madang,-5.22,145.8,301.74,71,72,2.86,PG,1596333521
Witney,51.78,-1.49,285.37,81,20,1.5,GB,1596333521
Tursunzoda,38.51,68.23,294.15,60,40,1,TJ,1596333522
Yayva,59.33,57.26,288.15,80,100,2.24,RU,1596333522
Biltine,14.53,20.92,298.59,76,100,4.49,TD,1596333522
Pitimbu,-7.47,-34.81,296.15,100,75,2.1,BR,1596333523
Puerto Maldonado,-12.6,-69.18,294.85,60,0,0.5,PE,1596333523
Whitehorse,60.72,-135.05,295.15,33,40,8.2,CA,1596333523
Tilichiki,60.47,166.1,289.91,54,39,3.11,RU,1596333523
Naze,28.37,129.48,304.15,74,40,3.6,JP,1596333524
Banjar,-8.19,114.97,298.15,88,40,2.1,ID,1596333524
Dhidhdhoo,6.88,73.1,301.4,78,100,7.06,MV,1596333524
Kiunga,-6.12,141.29,297.9,76,100,1.28,PG,1596333525
Ginir,7.13,40.7,287.19,86,86,5.68,ET,1596333525
Moskovskiy,55.6,37.35,287.15,87,75,3,RU,1596333526
Yeniseysk,58.45,92.17,291.41,69,88,1.96,RU,1596333526
Umba,66.69,34.34,282.02,89,23,2.74,RU,1596333526
Mocuba,-16.84,36.99,287.94,96,33,1.62,MZ,1596333526
Sainte-Suzanne,-20.91,55.61,289.15,87,23,2.1,RE,1596333527
Dufftown,57.43,-3.13,286.48,76,40,3.6,GB,1596333527
Miraflores,19.22,-98.81,292.15,55,90,1.5,MX,1596333527
Kumluca,36.37,30.29,301.56,43,0,1.17,TR,1596333528
Kargil,34.57,76.1,286.61,49,50,1.87,IN,1596333528
Troitsk,54.1,61.58,292.2,63,0,2.75,RU,1596333528
Mariental,-24.63,17.97,284.3,38,0,5.96,NA,1596333528
Hobyo,5.35,48.53,298.26,72,13,10.23,SO,1596333528
Tura,25.52,90.22,302.07,73,92,0.71,IN,1596333529
Seoul,37.57,126.98,299.15,100,90,3.75,KR,1596333271
Janakkala,60.9,24.6,287.04,85,98,0.45,FI,1596333529
Leh,34.17,77.58,288.7,43,1,2.79,IN,1596333529
Bafra,41.57,35.91,297.15,64,75,6.2,TR,1596333530
Ayorou,14.73,0.92,303.1,59,79,6.31,NE,1596333530
Bykovo,55.64,38.08,287.15,93,40,4,RU,1596333530
Celestún,20.87,-90.4,301.06,80,0,6.38,MX,1596333530
Saurimo,-9.66,20.39,290.73,40,69,3.16,AO,1596333531
La Rioja,42.25,-2.5,293.15,72,90,3.6,ES,1596333531
Chihuahua,28.5,-106,307.15,18,40,4.1,MX,1596332983
Berbera,10.44,45.01,305.1,42,100,13.01,SO,1596333531
Asekeyevo,53.57,52.8,290.58,84,100,4.34,RU,1596333532
Buin,-33.73,-70.75,282.59,87,67,2.1,CL,1596333532
Tumut,-35.3,148.22,286.13,55,81,1.63,AU,1596333532
Maningrida,-12.07,134.27,299.4,52,1,4.74,AU,1596333534
Tahe,52.33,124.73,292.93,81,100,2.78,CN,1596333534
Kresna,41.73,23.15,294.26,86,0,2.1,BG,1596333534
Aykhal,66,111.5,294.15,46,0,2.74,RU,1596333535
São Miguel do Araguaia,-13.28,-50.16,294.2,42,0,1.41,BR,1596333535
Griffith,41.53,-87.42,294.15,82,90,1.5,US,1596333264
Road Town,18.42,-64.62,300.93,89,6,0.89,VG,1596333535
Itaqui,-29.13,-56.55,291.66,93,0,3.7,BR,1596333536
Iquique,-20.22,-70.14,289.15,72,90,3.1,CL,1596333536
Aksu,41.12,80.26,302.46,21,40,1.95,CN,1596333536
Tuxpan,19.55,-103.4,293.53,85,100,0.82,MX,1596333536
Adelaide,-34.93,138.6,290.15,36,98,4.6,AU,1596333482
Province of Groningen,53.25,6.75,288.71,100,100,1,NL,1596333298
Cutervo,-6.38,-78.82,283.32,100,58,2.36,PE,1596333537
Sangar,63.92,127.47,296.37,41,0,1.83,RU,1596333537
Gazimurskiy Zavod,51.55,118.33,296.8,62,12,3.59,RU,1596333537
